NumNodes,NumRequests,AverageHops
1,10,1.000000
11,10,2.181818
21,10,2.428571
31,10,3.454839
41,10,3.429268
51,10,3.241176
61,10,3.895082
71,10,3.507042
81,10,4.369136
91,10,4.249451
101,10,4.363366
111,10,3.415315
121,10,4.047934
131,10,4.153435
141,10,4.105674
151,10,4.300000
161,10,4.508696
171,10,4.722222
181,10,4.237017
191,10,4.535079
201,10,4.532836
211,10,4.481517
221,10,4.466516
231,10,4.171861
241,10,5.230705
251,10,4.349402
261,10,4.576628
271,10,4.246494
281,10,4.884698
291,10,4.858076
301,10,4.451827
311,10,4.685531
321,10,4.444860
331,10,5.095468
341,10,4.841935
351,10,5.142165
361,10,4.523269
371,10,4.888140
381,10,5.206037
391,10,4.909207
401,10,4.559601
411,10,4.577616
421,10,4.861045
431,10,4.747332
441,10,4.880499
451,10,5.205100
461,10,4.990239
471,10,4.954989
481,10,4.650104
491,10,5.187169
501,10,5.071657
511,10,4.798826
521,10,5.254511
531,10,5.409228
541,10,5.043808
551,10,4.944646
561,10,5.305348
571,10,5.127496
581,10,5.081756
591,10,5.243486
601,10,5.028286
611,10,5.297872
621,10,5.292593
631,10,5.175911
641,10,5.261934
651,10,5.249923
661,10,5.211498
671,10,4.791654
681,10,5.376358
691,10,5.217800
701,10,5.708702
711,10,5.200000
721,10,5.557698
731,10,5.487962
741,10,5.428205
751,10,5.159787
761,10,5.539553
771,10,5.203502
781,10,5.432010
791,10,5.444880
801,10,4.800749
811,10,5.253761
821,10,5.410475
831,10,5.262214
841,10,5.600476
851,10,5.321857
861,10,5.530314
871,10,5.550172
881,10,5.388876
891,10,5.345903
901,10,5.452275
911,10,5.587486
921,10,5.569164
931,10,5.531686
941,10,5.720723
951,10,5.147739
961,10,5.784703
971,10,5.784346
981,10,5.842813
991,10,5.723713
1001,10,5.772428
